BSUB_gene	ident	ECOLI_gene
BSU19560	0.01	NaN
BSU19570	0.01	NaN
BSU19579	0.01	NaN
BSU19580	0.01	NaN
BSU19590	0.01	NaN
BSU19600	0.01	NaN
BSU19610	0.01	NaN
BSU19620	0.01	NaN
BSU19630	0.59	b4384
BSU19639	0.01	NaN
BSU19640	0.01	NaN
BSU19650	0.01	NaN
BSU19660	0.01	NaN
BSU19669	0.01	NaN
BSU19670	0.01	NaN
BSU19680	0.01	NaN
BSU19689	0.01	NaN
BSU19690	0.33	b4146
BSU19700	0.01	NaN
BSU19710	0.28	b3957
BSU19720	0.01	NaN
BSU19730	0.01	NaN
BSU19740	0.01	NaN
BSU19749	0.01	NaN
BSU19750	0.01	NaN
BSU19760	0.01	NaN
BSU19770	0.01	NaN
BSU19780	0.01	NaN
BSU19790	0.01	NaN
BSU19800	0.01	NaN
BSU19820	0.01	NaN
BSU19830	0.01	NaN
BSU19840	0.31	b0645
BSU19850	0.01	NaN
BSU19860	0.01	NaN
BSU19870	0.01	NaN
BSU19880	0.01	NaN
BSU19890	0.01	NaN
BSU19900	0.01	NaN
BSU19910	0.01	NaN
BSU19920	0.01	NaN
BSU19930	0.32	b0643
BSU19940	0.23	b1630
BSU19950	0.01	NaN
BSU19970	0.01	NaN
BSU19980	0.01	NaN
BSU19990	0.01	NaN
BSU19999	0.01	NaN
BSU20000	0.01	NaN
BSU20010	0.30	b3023
BSU20020	0.01	NaN
BSU20030	0.01	NaN
BSU20040	0.01	NaN
BSU20050	0.01	NaN
BSU20060	0.01	NaN
BSU20070	0.01	NaN
BSU20080	0.01	NaN
BSU20090	0.01	NaN
BSU20100	0.01	NaN
BSU20110	0.01	NaN
BSU20120	0.01	NaN
BSU20130	0.01	NaN
BSU20140	0.01	NaN
BSU20150	0.57	b4547
BSU20160	0.01	NaN
BSU20170	0.01	NaN
BSU20180	0.01	NaN
BSU20190	0.01	NaN
BSU20200	0.01	NaN
BSU20210	0.01	NaN
BSU20220	0.01	NaN
BSU20230	0.01	NaN
BSU20240	0.32	b0289
BSU20250	0.29	b1961
BSU20260	0.01	NaN
BSU20270	0.01	NaN
BSU20280	0.01	NaN
BSU20290	0.01	NaN
BSU20300	0.01	NaN
BSU20310	0.01	NaN
BSU20320	0.01	NaN
BSU20330	0.01	NaN
BSU20340	0.01	NaN
BSU20350	0.01	NaN
BSU20360	0.01	NaN
BSU20370	0.01	NaN
BSU20380	0.44	b3083
BSU20390	0.29	b0881
BSU20400	0.01	NaN
BSU20410	0.01	NaN
BSU20420	0.01	NaN
BSU20430	0.01	NaN
BSU20440	0.01	NaN
BSU20450	0.01	NaN
BSU20460	0.01	NaN
BSU20470	0.01	NaN
BSU20480	0.01	NaN
BSU20490	0.27	b1931
BSU20500	0.01	NaN
BSU20510	0.01	NaN
BSU20520	0.01	NaN
BSU20530	0.01	NaN
BSU20540	0.01	NaN
BSU20550	0.01	NaN
BSU20560	0.01	NaN
BSU20570	0.01	NaN
BSU20580	0.01	NaN
BSU20590	0.01	NaN
BSU20600	0.01	NaN
BSU20610	0.01	NaN
BSU20620	0.01	NaN
BSU20630	0.01	NaN
BSU20640	0.01	NaN
BSU20650	0.01	NaN
BSU20660	0.01	NaN
BSU20670	0.01	NaN
BSU20680	0.01	NaN
BSU20690	0.01	NaN
BSU20700	0.01	NaN
BSU20710	0.01	NaN
BSU20720	0.01	NaN
BSU20730	0.01	NaN
BSU20740	0.01	NaN
BSU20750	0.01	NaN
BSU20760	0.38	b1155
BSU20770	0.01	NaN
BSU20780	0.01	NaN
BSU20790	0.35	b2181
BSU20800	0.01	NaN
BSU20810	0.01	NaN
BSU20820	0.01	NaN
BSU20830	0.01	NaN
BSU20840	0.01	NaN
BSU20850	0.01	NaN
BSU20860	0.01	NaN
BSU20870	0.35	b4315
BSU20880	0.01	NaN
BSU20890	0.01	NaN
BSU20900	0.01	NaN
BSU20910	0.36	b1282
BSU20920	0.01	NaN
BSU20928	0.01	NaN
BSU20929	0.01	NaN
BSU20930	0.01	NaN
BSU20940	0.01	NaN
BSU20950	0.01	NaN
BSU20960	0.01	NaN
BSU20970	0.60	b1064
BSU20980	0.01	NaN
BSU20990	0.01	NaN
BSU20999	0.01	NaN
BSU21000	0.01	NaN
BSU21010	0.01	NaN
BSU21020	0.01	NaN
BSU21030	0.01	NaN
BSU21040	0.01	NaN
BSU21050	0.01	NaN
BSU21060	0.01	NaN
BSU21070	0.01	NaN
BSU21080	0.01	NaN
BSU21090	0.01	NaN
BSU21100	0.01	NaN
BSU21110	0.01	NaN
BSU21120	0.01	NaN
BSU21130	0.01	NaN
BSU21140	0.01	NaN
BSU21150	0.01	NaN
BSU21160	0.01	NaN
BSU21170	0.01	NaN
BSU21180	0.01	NaN
BSU21190	0.01	NaN
BSU21200	0.36	b1447
BSU21210	0.01	NaN
BSU21220	0.01	NaN
BSU21229	0.01	NaN
BSU21230	0.01	NaN
BSU21240	0.01	NaN
BSU21250	0.01	NaN
BSU21260	0.01	NaN
BSU21270	0.01	NaN
BSU21280	0.01	NaN
BSU21290	0.01	NaN
BSU21300	0.01	NaN
BSU21310	0.01	NaN
BSU21320	0.01	NaN
BSU21329	0.36	b4520
BSU21330	0.01	NaN
BSU21340	0.01	NaN
BSU21350	0.36	b1856
BSU21360	0.01	NaN
BSU21370	0.01	NaN
BSU21380	0.01	NaN
BSU21390	0.01	NaN
BSU21400	0.01	NaN
BSU21410	0.01	NaN
BSU21420	0.01	NaN
BSU21430	0.01	NaN
BSU21440	0.25	b1185
BSU21450	0.01	NaN
BSU21460	0.01	NaN
BSU21470	0.01	NaN
BSU21480	0.01	NaN
BSU21490	0.01	NaN
BSU21500	0.01	NaN
BSU21510	0.01	NaN
BSU21520	0.41	b1726
BSU21530	0.01	NaN
BSU21540	0.01	NaN
BSU21550	0.01	NaN
BSU21560	0.01	NaN
BSU21570	0.01	NaN
BSU21580	0.01	NaN
BSU21590	0.01	NaN
BSU21600	0.01	NaN
BSU21610	0.01	NaN
BSU21620	0.01	NaN
BSU21630	0.35	b3999
BSU21640	0.01	NaN
BSU21650	0.01	NaN
	NaN	NaN
BSU21680	0.52	b1778
BSU21690	0.45	b4219
BSU21700	0.01	NaN
BSU21710	0.01	NaN
BSU21720	0.01	NaN
BSU21730	0.01	NaN
BSU21740	0.01	NaN
BSU21750	0.01	NaN
BSU21760	0.01	NaN
BSU21770	0.39	b3772
BSU21780	0.01	NaN
BSU21790	0.47	b2899
BSU21800	0.01	NaN
BSU21810	0.44	b0048
BSU21820	0.64	b2827
BSU21830	0.01	NaN
BSU21840	0.01	NaN
BSU21850	0.29	b3497
BSU21860	0.01	NaN
BSU21870	0.47	b3771
BSU21880	0.40	b3594
BSU21890	0.30	b1962
BSU21900	0.43	b1710
BSU21910	0.48	b4013
BSU21920	0.01	NaN
BSU21930	0.01	NaN
BSU21940	0.01	NaN
BSU21950	0.01	NaN
BSU21960	0.01	NaN
BSU21970	0.33	b3538
BSU21980	0.28	b3471
BSU21990	0.30	b0214
BSU22000	0.01	NaN
BSU22010	0.01	NaN
BSU22019	0.01	NaN
BSU22020	0.01	NaN
BSU22030	0.01	NaN
BSU22040	0.01	NaN
BSU22050	0.01	NaN
BSU22060	0.42	b2888
BSU22070	0.01	NaN
BSU22080	0.01	NaN
BSU22090	0.51	b3909
BSU22100	0.37	b1850
BSU22110	0.28	b1772
BSU22120	0.01	NaN
BSU22130	0.46	b2843
BSU22140	0.56	b2842
BSU22150	0.01	NaN
BSU22160	0.01	NaN
BSU22169	0.01	NaN
BSU22170	0.32	b0948
BSU22180	0.01	NaN
BSU22190	0.01	NaN
BSU22200	0.01	NaN
BSU22210	0.38	b2622
BSU22220	0.26	b1653
BSU22230	0.43	b2417
BSU22240	0.01	NaN
BSU22250	0.01	NaN
BSU22260	0.36	b4621
BSU22270	0.01	NaN
BSU22280	0.01	NaN
BSU22290	0.01	NaN
BSU22300	0.01	NaN
BSU22310	0.01	NaN
BSU22320	0.37	b3396
BSU22330	0.31	b3377
BSU22340	0.46	b1633
BSU22350	0.01	NaN
BSU22360	0.36	b0930
BSU22370	0.29	b2290
BSU22380	0.26	b0354
BSU22390	0.01	NaN
BSU22400	0.29	b1808
BSU22410	0.48	b0131
BSU22420	0.41	b0133
BSU22430	0.48	b0134
BSU22440	0.27	b3973
BSU22450	0.39	b0143
BSU22460	0.27	b2044
BSU22470	0.29	b0364
BSU22480	0.50	b0963
BSU22490	0.28	b0031
BSU22500	0.01	NaN
BSU22510	0.01	NaN
BSU22520	0.01	NaN
BSU22530	0.01	NaN
BSU22540	0.42	b3518
BSU22550	0.28	b2004
BSU22560	0.01	NaN
BSU22570	0.01	NaN
BSU22580	0.01	NaN
BSU22590	0.01	NaN
BSU22600	0.28	b0908
BSU22610	0.01	NaN
BSU22620	0.28	b2021
BSU22630	0.36	b1260
BSU22640	0.56	b1261
BSU22650	0.01	NaN
BSU22660	0.36	b1262
BSU22670	0.39	b1263
BSU22680	0.34	b1264
BSU22690	0.01	NaN
BSU22700	0.43	b3389
BSU22710	0.36	b2329
BSU22720	0.32	b1884
BSU22730	0.49	b2518
BSU22740	0.32	b3187
BSU22750	0.38	b3833
BSU22760	0.01	NaN
BSU22770	0.01	NaN
BSU22780	0.38	b2153
BSU22790	0.58	b4000
BSU22800	0.01	NaN
BSU22810	0.01	NaN
BSU22820	0.01	NaN
BSU22830	0.40	b3608
BSU22840	0.38	b2511
BSU22849	0.01	NaN
BSU22850	0.01	NaN
BSU22860	0.01	NaN
BSU22869	0.01	NaN
BSU22870	0.36	b3605
BSU22880	0.39	b0911
BSU22890	0.45	b0910
BSU22900	0.01	NaN
BSU22910	0.01	NaN
BSU22920	0.01	NaN
BSU22930	0.01	NaN
BSU22940	0.01	NaN
BSU22950	0.01	NaN
BSU22960	0.01	NaN
BSU22970	0.01	NaN
BSU22980	0.01	NaN
BSU22990	0.01	NaN
BSU23000	0.01	NaN
BSU23010	0.01	NaN
BSU23020	0.01	NaN
BSU23030	0.01	NaN
BSU23040	0.01	NaN
BSU23050	0.01	NaN
BSU23060	0.01	NaN
BSU23070	0.32	b2913
BSU23080	0.54	b1693
BSU23090	0.01	NaN
BSU23100	0.01	NaN
BSU23110	0.32	b0400
BSU23120	0.42	b0399
BSU23130	0.25	b4074
BSU23140	0.50	b0823
BSU23150	0.01	NaN
BSU23160	0.40	b1269
BSU23170	0.27	b4329
BSU23180	0.01	NaN
BSU23190	0.01	NaN
BSU23200	0.01	NaN
BSU23210	0.01	NaN
BSU23220	0.01	NaN
BSU23230	0.01	NaN
BSU23240	0.01	NaN
BSU23250	0.53	b0415
BSU23260	0.55	b1277
BSU23270	0.35	b1662
BSU23280	0.41	b0414
BSU23300	0.39	b1122
BSU23310	0.01	NaN
BSU23320	0.01	NaN
BSU23328	0.01	NaN
BSU23340	0.01	NaN
BSU23350	0.01	NaN
BSU23360	0.39	b3363
BSU23370	0.01	NaN
BSU23380	0.33	b2838
BSU23390	0.01	NaN
BSU23401	0.01	NaN
BSU23402	0.01	NaN
BSU23410	0.01	NaN
BSU23420	0.01	NaN
BSU23430	0.01	NaN
BSU23440	0.01	NaN
BSU23450	0.01	NaN
BSU23460	0.01	NaN
BSU23470	0.01	NaN
BSU23480	0.34	b0839
BSU23490	0.47	b2407
BSU23500	0.45	b4383
BSU23510	0.45	b2894
BSU23519	0.01	NaN
BSU23520	0.34	b0683
BSU23530	0.38	b2313
BSU23540	0.01	NaN
BSU23550	0.01	NaN
BSU23560	0.01	NaN
BSU23570	0.48	b4139
BSU23580	0.32	b1767
BSU23590	0.01	NaN
BSU23600	0.01	NaN
BSU23610	0.30	b2467
BSU23620	0.01	NaN
BSU23630	0.01	NaN
BSU23640	0.25	b2534
BSU23650	0.01	NaN
BSU23660	0.01	NaN
BSU23670	0.01	NaN
BSU23680	0.38	b2333
BSU23690	0.01	NaN
BSU23700	0.32	b1063
BSU23710	0.01	NaN
BSU23720	0.01	NaN
BSU23730	0.25	b1534
BSU23740	0.01	NaN
BSU23750	0.01	NaN
BSU23760	0.50	b3974
BSU23770	0.58	b2366
BSU23780	0.36	b1539
BSU23790	0.01	NaN
BSU23800	0.31	b0386
BSU23810	0.01	NaN
BSU23820	0.33	b1650
BSU23830	0.01	NaN
BSU23840	0.48	b2268
BSU23850	0.39	b1852
BSU23860	0.70	b2029
BSU23870	0.35	b0231
BSU23880	0.01	NaN
BSU23890	0.01	NaN
BSU23900	0.01	NaN
BSU23910	0.01	NaN
BSU23920	0.01	NaN
BSU23930	0.01	NaN
BSU23940	0.49	b1990
BSU23950	0.01	NaN
BSU23960	0.01	NaN
BSU23970	0.01	NaN
BSU23980	0.38	b0811
BSU23990	0.01	NaN
BSU24000	0.01	NaN
BSU24010	0.01	NaN
BSU24020	0.01	NaN
BSU24030	0.01	NaN
BSU24040	0.01	NaN
BSU24050	0.01	NaN
BSU24060	0.01	NaN
BSU24070	0.01	NaN
BSU24080	0.01	NaN
BSU24090	0.01	NaN
BSU24100	0.01	NaN
BSU24110	0.01	NaN
BSU24120	0.44	b0331
BSU24130	0.61	b0334
BSU24140	0.01	NaN
BSU24150	0.01	NaN
BSU24160	0.39	b1395
BSU24170	0.45	b2844
BSU24180	0.01	NaN
BSU24190	0.01	NaN
BSU24200	0.01	NaN
BSU24210	0.01	NaN
BSU24220	0.01	NaN
BSU24230	0.01	NaN
BSU24240	0.35	b2616
BSU24250	0.32	b3237
BSU24260	0.01	NaN
BSU24270	0.45	b0420
BSU24280	0.43	b0421
BSU24290	0.45	b0422
BSU24300	0.41	b2509
BSU24310	0.52	b0529
BSU24320	0.38	b0416
BSU24330	0.01	NaN
BSU24340	0.56	b3256
BSU24350	0.41	b3255
BSU24360	0.01	NaN
BSU24370	0.01	NaN
BSU24380	0.01	NaN
BSU24390	0.28	b4394
BSU24400	0.01	NaN
BSU24410	0.01	NaN
BSU24420	0.01	NaN
BSU24430	0.01	NaN
BSU24440	0.01	NaN
BSU24450	0.43	b4147
BSU24460	0.40	b2385
BSU24470	0.01	NaN
BSU24480	0.01	NaN
BSU24490	0.01	NaN
BSU24500	0.01	NaN
BSU24510	0.01	NaN
BSU24520	0.38	b0817
BSU24530	0.01	NaN
BSU24540	0.01	NaN
BSU24550	0.42	b2903
BSU24560	0.01	NaN
BSU24570	0.40	b2905
BSU24580	0.37	b0059
BSU24590	0.01	NaN
BSU24600	0.01	NaN
BSU24610	0.38	b1434
BSU24620	0.01	NaN
BSU24630	0.01	NaN
BSU24640	0.32	b0950
BSU24650	0.01	NaN
BSU24660	0.01	NaN
BSU24670	0.31	b3080
BSU24680	0.01	NaN
BSU24690	0.01	NaN
BSU24700	0.01	NaN
BSU24710	0.01	NaN
BSU24720	0.20	b3327
BSU24730	0.36	b3326
BSU24740	0.24	b3816
BSU24750	0.01	NaN
BSU24760	0.01	NaN
BSU24770	0.31	b2495
BSU24780	0.33	b0010
BSU24790	0.38	b0927
BSU24800	0.01	NaN
BSU24810	0.01	NaN
BSU24820	0.01	NaN
BSU24830	0.38	b1326
BSU24840	0.23	b1498
BSU24850	0.29	b1594
BSU24860	0.01	NaN
BSU24870	0.27	b3424
BSU24880	0.01	NaN
BSU24890	0.31	b2912
BSU24900	0.31	b3636
BSU24910	0.01	NaN
BSU24920	0.01	NaN
BSU24930	0.01	NaN
BSU24940	0.01	NaN
BSU24950	0.01	NaN
BSU24960	0.59	b3725
BSU24970	0.30	b3726
BSU24980	0.30	b3727
BSU24990	0.26	b3728
BSU25000	0.01	NaN
BSU25010	0.01	NaN
BSU25020	0.59	b3908
BSU25030	0.26	b1172
BSU25040	0.30	b3554
BSU25050	0.01	NaN
BSU25060	0.01	NaN
BSU25070	0.49	b2515
BSU25080	0.40	b2008
BSU25090	0.01	NaN
BSU25100	0.01	NaN
BSU25110	0.01	NaN
BSU25120	0.01	NaN
BSU25130	0.32	b2159
BSU25140	0.01	NaN
BSU25150	0.01	NaN
BSU25160	0.38	b0029
BSU25170	0.27	b0710
BSU25180	0.01	NaN
BSU25190	0.01	NaN
BSU25200	0.69	b3067
BSU25210	0.35	b3066
BSU25220	0.01	NaN
BSU25230	0.33	b0387
BSU25240	0.26	b1703
BSU25250	0.01	NaN
BSU25260	0.35	b3559
BSU25270	0.63	b3560
BSU25280	0.27	b2565
BSU25289	0.01	NaN
BSU25290	0.39	b2566
BSU25300	0.30	b2143
BSU25310	0.22	b4042
BSU25320	0.37	b0659
BSU25330	0.01	NaN
BSU25340	0.52	b0660
BSU25350	0.44	b4188
BSU25360	0.01	NaN
BSU25370	0.01	NaN
BSU25380	0.01	NaN
BSU25390	0.01	NaN
BSU25400	0.01	NaN
BSU25410	0.55	b3065
BSU25420	0.25	b4020
BSU25430	0.01	NaN
BSU25440	0.32	b2946
BSU25450	0.32	b3259
BSU25460	0.51	b0015
BSU25470	0.56	b0014
BSU25480	0.34	b2614
BSU25490	0.01	NaN
BSU25500	0.32	b2955
BSU25510	0.59	b2569
BSU25520	0.01	NaN
BSU25530	0.01	NaN
BSU25540	0.01	NaN
BSU25550	0.41	b0023
BSU25560	0.32	b1156
BSU25569	0.01	NaN
BSU25570	0.26	b0913
BSU25580	0.01	NaN
BSU25590	0.38	b0442
BSU25600	0.01	NaN
BSU25610	0.01	NaN
BSU25620	0.38	b0637
BSU25630	0.01	NaN
BSU25640	0.33	b0639
BSU25650	0.41	b3180
BSU25660	0.34	b1692
BSU25670	0.01	NaN
BSU25680	0.01	NaN
BSU25690	0.01	NaN
BSU25700	0.21	b0494
BSU25710	0.01	NaN
BSU25720	0.01	NaN
BSU25730	0.01	NaN
BSU25740	0.01	NaN
BSU25750	0.01	NaN
BSU25770	0.32	b1158
BSU25780	0.01	NaN
BSU25790	0.01	NaN
BSU25800	0.01	NaN
BSU25810	0.39	b3501
BSU25820	0.01	NaN
BSU25830	0.01	NaN
BSU25840	0.01	NaN
BSU25850	0.01	NaN
BSU25860	0.01	NaN
BSU25870	0.01	NaN
BSU25880	0.01	NaN
BSU25890	0.01	NaN
BSU25900	0.01	NaN
BSU25910	0.01	NaN
BSU25920	0.01	NaN
BSU25930	0.01	NaN
BSU25940	0.32	b1420
BSU25950	0.01	NaN
BSU25960	0.01	NaN
BSU25970	0.01	NaN
BSU25980	0.01	NaN
BSU25990	0.01	NaN
BSU26000	0.32	b1268
BSU26010	0.01	NaN
BSU26020	0.01	NaN
BSU26030	0.01	NaN
BSU26050	0.01	NaN
BSU26060	0.01	NaN
BSU26075	0.01	NaN
BSU26089	0.01	NaN
BSU26090	0.01	NaN
BSU26100	0.33	b2272
BSU26110	0.01	NaN
BSU26120	0.01	NaN
BSU26130	0.01	NaN
BSU26140	0.01	NaN
BSU26150	0.01	NaN
BSU26160	0.01	NaN
BSU26170	0.01	NaN
BSU26180	0.01	NaN
BSU26190	0.01	NaN
BSU26200	0.01	NaN
BSU26210	0.01	NaN
BSU26220	0.01	NaN
BSU26230	0.01	NaN
BSU26240	0.01	NaN
BSU26250	0.39	b0550
BSU26259	0.01	NaN
BSU26260	0.01	NaN
BSU26270	0.01	NaN
BSU26280	0.26	b1349
BSU26290	0.01	NaN
BSU26300	0.01	NaN
BSU26310	0.01	NaN
BSU26320	0.01	NaN
BSU26330	0.01	NaN
BSU26340	0.01	NaN
BSU26350	0.01	NaN
BSU26360	0.01	NaN
BSU26370	0.01	NaN
BSU26380	0.24	b0708
BSU26400	0.01	NaN
BSU26410	0.51	b4030
BSU26420	0.01	NaN
BSU26430	0.01	NaN
BSU26440	0.01	NaN
BSU26450	0.01	NaN
BSU26470	0.40	b3351
BSU26480	0.01	NaN
BSU26490	0.01	NaN
BSU26500	0.01	NaN
BSU26510	0.01	NaN
BSU26530	0.37	b3470
BSU26540	0.01	NaN
BSU26550	0.01	NaN
BSU26560	0.01	NaN
BSU26570	0.01	NaN
BSU26580	0.01	NaN
BSU26590	0.01	NaN
BSU26600	0.01	NaN
BSU26610	0.01	NaN
BSU26619	0.01	NaN
BSU26620	0.01	NaN
BSU26630	0.01	NaN
BSU26640	0.01	NaN
BSU26650	0.41	b0752
BSU26660	0.01	NaN
BSU26670	0.32	b1526
BSU26680	0.01	NaN
BSU26690	0.01	NaN
BSU26700	0.01	NaN
BSU26710	0.27	b2682
BSU26720	0.33	b0889
BSU26730	0.31	b3239
BSU26740	0.01	NaN
BSU26760	0.01	NaN
BSU26770	0.01	NaN
BSU26780	0.01	NaN
BSU26790	0.01	NaN
BSU26800	0.01	NaN
BSU26810	0.01	NaN
BSU26820	0.29	b2215
BSU26830	0.46	b1973
BSU26840	0.25	b4293
BSU26850	0.36	b0419
BSU26860	0.01	NaN
BSU26870	0.01	NaN
BSU26880	0.35	b0769
BSU26890	0.01	NaN
BSU26900	0.01	NaN
BSU26910	0.01	NaN
BSU26920	0.01	NaN
BSU26930	0.01	NaN
BSU26940	0.01	NaN
BSU26950	0.01	NaN
BSU26960	0.01	NaN
BSU26970	0.41	b0608
BSU26980	0.01	NaN
BSU26990	0.01	NaN
BSU27000	0.33	b0487
BSU27010	0.54	b0325
BSU27020	0.01	NaN
BSU27030	0.01	NaN
BSU27040	0.61	b1819
BSU27050	0.58	b1818
BSU27060	0.48	b1817
BSU27070	0.01	NaN
BSU27080	0.01	NaN
BSU27090	0.01	NaN
BSU27100	0.31	b1798
BSU27110	0.01	NaN
BSU27120	0.01	NaN
BSU27130	0.29	b3096
BSU27140	0.01	NaN
BSU27150	0.01	NaN
BSU27160	0.01	NaN
BSU27170	0.01	NaN
BSU27180	0.01	NaN
BSU27190	0.01	NaN
BSU27200	0.33	b2492
BSU27210	0.01	NaN
BSU27220	0.01	NaN
BSU27230	0.01	NaN
BSU27240	0.01	NaN
BSU27250	0.43	b3939
BSU27260	0.01	NaN
BSU27270	0.53	b0159
BSU27280	0.01	NaN
BSU27290	0.01	NaN
BSU27300	0.39	b3698
BSU27310	0.01	NaN
BSU27320	0.43	b3181
BSU27330	0.55	b2066
BSU27340	0.34	b2081
BSU27350	0.01	NaN
BSU27360	0.01	NaN
BSU27370	0.34	b1097
BSU27380	0.01	NaN
BSU27390	0.33	b2949
BSU27400	0.01	NaN
BSU27410	0.45	b2697
BSU27420	0.01	NaN
BSU27430	0.59	b3271
BSU27440	0.01	NaN
BSU27450	0.01	NaN
BSU27460	0.01	NaN
BSU27468	0.01	NaN
BSU27469	0.01	NaN
BSU27470	0.01	NaN
BSU27480	0.27	b2819
BSU27490	0.01	NaN
BSU27500	0.57	b1133
BSU27510	0.44	b2530
BSU27520	0.32	b2531
BSU27530	0.39	b0892
BSU27540	0.40	b2812
BSU27550	0.52	b1866
BSU27560	0.46	b2514
BSU27570	0.01	NaN
BSU27580	0.01	NaN
BSU27590	0.48	b3887
BSU27600	0.40	b3650
BSU27610	0.55	b0469
BSU27620	0.31	b2892
BSU27630	0.52	b1590
BSU27640	0.01	NaN
BSU27650	0.32	b0408
BSU27660	0.01	NaN
BSU27670	0.24	b2037
BSU27680	0.01	NaN
BSU27690	0.01	NaN
BSU27700	0.35	b0407
BSU27710	0.57	b0406
BSU27720	0.46	b0405
BSU27729	0.01	NaN
BSU27730	0.60	b1860
BSU27740	0.34	b1861
BSU27750	0.01	NaN
BSU27760	0.01	NaN
BSU27770	0.01	NaN
BSU27785	0.01	NaN
BSU27800	0.01	NaN
BSU27809	0.01	NaN
BSU27810	0.01	NaN
BSU27820	0.50	b1864
BSU27830	0.01	NaN
BSU27840	0.01	NaN
BSU27850	0.27	b0750
BSU27860	0.41	b0109
BSU27870	0.38	b2574
BSU27880	0.01	NaN
BSU27890	0.01	NaN
BSU27900	0.31	b2599
BSU27910	0.41	b3460
BSU27920	0.48	b3183
BSU27930	0.01	NaN
BSU27940	0.62	b3185
BSU27950	0.01	NaN
BSU27960	0.46	b3186
BSU27970	0.01	NaN
BSU27980	0.01	NaN
BSU27990	0.44	b1175
BSU28000	0.35	b1176
BSU28010	0.22	b3249
BSU28020	0.25	b3250
BSU28030	0.58	b3251
BSU28040	0.37	b3638
BSU28050	0.47	b3248
BSU28060	0.01	NaN
BSU28070	0.31	b2972
BSU28080	0.30	b2315
BSU28090	0.43	b4258
BSU28099	0.01	NaN
BSU28100	0.01	NaN
BSU28110	0.01	NaN
BSU28120	0.55	b0154
BSU28130	0.49	b0369
BSU28140	0.01	NaN
BSU28150	0.46	b3805
BSU28160	0.01	NaN
BSU28170	0.35	b1210
BSU28180	0.01	NaN
BSU28190	0.38	b3865
BSU28200	0.56	b0439
BSU28210	0.01	NaN
BSU28220	0.64	b0438
BSU28230	0.37	b0436
BSU28240	0.01	NaN
BSU28250	0.49	b0071
BSU28260	0.60	b0072
BSU28270	0.54	b0073
BSU28280	0.46	b0074
BSU28290	0.34	b3774
BSU28300	0.37	b0078
BSU28310	0.48	b0077
BSU28320	0.01	NaN
BSU28330	0.55	b1932
BSU28340	0.01	NaN
BSU28350	0.34	b2300
BSU28360	0.48	b2954
BSU28370	0.01	NaN
BSU28380	0.01	NaN
BSU28390	0.30	b3967
BSU28400	0.01	NaN
BSU28410	0.01	NaN
BSU28420	0.01	NaN
BSU28430	0.26	b4153
BSU28440	0.34	b4154
BSU28450	0.01	NaN
BSU28460	0.01	NaN
BSU28470	0.01	NaN
BSU28490	0.39	b1913
BSU28500	0.48	b3781
BSU28510	0.01	NaN
BSU28520	0.33	b1698
BSU28530	0.28	b0041
BSU28540	0.01	NaN
BSU28550	0.28	b1618
BSU28560	0.40	b1805
BSU28570	0.24	b4184
BSU28580	0.01	NaN
BSU28590	0.28	b1034
BSU28600	0.01	NaN
BSU28610	0.01	NaN
BSU28620	0.30	b3383
BSU28630	0.40	b1713
BSU28640	0.48	b1714
BSU28650	0.01	NaN
BSU28660	0.01	NaN
BSU28670	0.25	b0162
BSU28680	0.39	b2979
BSU28690	0.33	b4467
BSU28700	0.01	NaN
BSU28710	0.45	b0598
BSU28720	0.01	NaN
BSU28730	0.01	NaN
BSU28740	0.34	b1311
BSU28750	0.01	NaN
BSU28760	0.01	NaN
BSU28770	0.01	NaN
BSU28780	0.60	b0061
BSU28790	0.32	b0063
BSU28800	0.53	b0062
BSU28810	0.01	NaN
BSU28820	0.41	b3898
BSU28830	0.39	b4017
BSU28840	0.01	NaN
BSU28850	0.58	b1716
BSU28860	0.52	b1717
BSU28870	0.53	b1718
BSU28890	0.01	NaN
BSU28900	0.01	NaN
BSU28910	0.01	NaN
BSU28920	0.35	b2381
BSU28930	0.33	b2380
BSU28940	0.01	NaN
BSU28950	0.01	NaN
BSU28960	0.01	NaN
BSU28970	0.32	b1750
BSU28980	0.01	NaN
BSU28990	0.01	NaN
BSU29000	0.49	b0413
BSU29010	0.25	b0120
BSU29020	0.01	NaN
BSU29030	0.01	NaN
BSU29040	0.36	b1657
BSU29050	0.01	NaN
BSU29060	0.41	b0103
BSU29070	0.01	NaN
BSU29080	0.40	b3635
BSU29090	0.41	b3863
BSU29100	0.01	NaN
BSU29110	0.01	NaN
BSU29120	0.31	b3236
BSU29130	0.67	b1136
BSU29140	0.37	b0333
BSU29150	0.35	b1789
BSU29160	0.01	NaN
BSU29170	0.34	b4140
BSU29180	0.52	b1676
BSU29190	0.56	b3916
BSU29200	0.53	b0185
BSU29210	0.48	b2316
BSU29220	0.52	b2463
BSU29230	0.38	b0184
BSU29239	0.01	NaN
BSU29240	0.01	NaN
BSU29249	0.01	NaN
BSU29250	0.01	NaN
BSU29260	0.01	NaN
BSU29270	0.01	NaN
BSU29280	0.28	b2327
BSU29290	0.01	NaN
BSU29300	0.01	NaN
BSU29310	0.01	NaN
BSU29320	0.28	b3610
BSU29330	0.01	NaN
BSU29340	0.01	NaN
BSU29350	0.01	NaN
BSU29360	0.35	b0810
BSU29370	0.01	NaN
BSU29380	0.01	NaN
